S.NO,Tower No, Supspension/Tenion,TOWER TYPE,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
58,T.NO-56 GUDIMANGALAM LILO,T,DD,24,55-56,305.45867150892934,3.1,366,"1°1'26.51""",77.32791666666667,10.682583333333334,GOOD,GOOD,LT,,NO,CULTIVATION,NEED 3WAY JUNCTION BOX. 2 EARTH WIRE 1 EARTH WIRE CONTINUE TO OUR T.NO-57.ANOTHER EARTH WIRE CONNECT TO GUDIMANGALAM T.NO-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32791666666667 10.682583333333334, 77.33083333333333 10.68311111111111)"
59,T.NO-57,S,DA,26,56-57,325,3.2,365,,77.33083333333333,10.68311111111111,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33083333333333 10.68311111111111, 77.33358333333332 10.683583333333333)"
60,T.NO-58,S,DA,26,57-58,305.6304958606062,2.9,366,,77.33358333333332,10.683583333333333,GOOD,GOOD,"11KV,400KV DC  LINE CROSSING ABOVE OUR LINE",MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33358333333332 10.683583333333333, 77.33644444444444 10.684027777777779)"
61,T.NO-59,S,DA,26,58-59,317.6239915371633,3.07,365,,77.33644444444444,10.684027777777779,GOOD,GOOD,"LT,11KV",,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33644444444444 10.684027777777779, 77.33933333333333 10.684555555555555)"
62,T.NO-60,S,DA,26,59-60,320.4777683397087,3.15,358,,77.33933333333333,10.684555555555555,GOOD,GOOD,"LT,11KV",TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33933333333333 10.684555555555555, 77.34213888888888 10.685027777777778)"
63,T.NO-61,T,DB,24,60-61,313.22994748267604,2.27,354,"0°25'59.21""",77.34213888888888,10.685027777777778,GOOD,GOOD,LT,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34213888888888 10.685027777777778, 77.34488888888889 10.685500000000001)"
64,T.NO-62,S,DA,26,61-62,303.66099519036027,2.4,356,,77.34488888888889,10.685500000000001,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34488888888889 10.685500000000001, 77.34780555555555 10.686027777777777)"
65,T.NO-63,S,DA,26,62-63,324.59359205012044,2.68,351,,77.34780555555555,10.686027777777777,GOOD,GOOD,"2nos LT,11KV",,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34780555555555 10.686027777777777, 77.35047222222222 10.686444444444446)"
66,T.NO-64,S,DA,26,63-64,295.0965943551365,2.6,349,,77.35047222222222,10.686444444444446,GOOD,GOOD,2nos LT,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35047222222222 10.686444444444446, 77.35338888888889 10.686972222222222)"
67,T.NO-65,T,DB,24,64-65,325.7621831950418,1.32,349,"5°45'0.27""",77.35338888888889,10.686972222222222,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35338888888889 10.686972222222222, 77.35619444444444 10.687194444444446)"
68,T.NO-66,S,DA,26,65-66,307.18886698576824,2.62,352,,77.35619444444444,10.687194444444446,GOOD,GOOD,,,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35619444444444 10.687194444444446, 77.35919444444444 10.687444444444445)"
69,T.NO-67,S,DA,26,66-67,330.3649497147057,3.71,357,,77.35919444444444,10.687444444444445,GOOD,GOOD,,MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35919444444444 10.687444444444445, 77.36183333333332 10.687694444444444)"
70,T.NO-68,S,DA,26,67-68,290.4513728664404,2.76,347,,77.36183333333332,10.687694444444444,GOOD,GOOD,LT,TAAR ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36183333333332 10.687694444444444, 77.36469444444444 10.687916666666666)"
71,T.NO-69,S,DA,26,68-69,314.2499005568657,2.05,347,,77.36469444444444,10.687916666666666,GOOD,GOOD,LT,MUD ROAD,NO,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36469444444444 10.687916666666666, 77.36605555555555 10.688055555555556)"
72,T.NO-70,T,DB,24,69-70,149.75313018431368,1.1,350,"8°11'7.12""",77.36605555555555,10.688055555555556,GOOD,GOOD,,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36605555555555 10.688055555555556, 77.36649999999999 10.688027777777778)"
73,T.NO-70A,GANTRY,GT,20,70-70A,47.042533945356304,,347,,77.36649999999999,10.688027777777778,GOOD,GOOD,,MUD ROAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36649999999999 10.688027777777778, 77.36688888888888 10.688027777777778)"
74,T.NO-70B,GANTRY,GANTRY,20,70A-70B,43.04648650006177,,375,,77.36688888888888,10.688027777777778,GOOD,GOOD,400KV SC LINE CROSSING ABOVE OUR LINE,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36688888888888 10.688027777777778, 77.36725 10.68813888888889)"
75,T.NO-71,T,DB,24,70B-71,40.52159917870962,3.4,346,"9°10'9.22""",77.36725,10.68813888888889,GOOD,GOOD,,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36725 10.68813888888889, 77.36844444444444 10.68825)"
76,T.NO-72,T,DC,26,71-72,130.86252328302402,4.15,347,"18°50'48.19""",77.36844444444444,10.68825,GOOD,GOOD,11KV,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36844444444444 10.68825, 77.3688611111111 10.688166666666667)"
