Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs)As per tower schedule ,Span length (mtrs),Difference (T Schedule - Span length Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Latitude,Longitude,,,,,Horizontal Angle(˚),"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,,,
54,HCR/T,T,24.64,53 TO 54,183,195.44316881560027,=F60-G60,8.6,502,12.32746,78.10152,,,,,25⁰28′11″   RT,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10152 12.32746, 78.09982 12.32947)",,,,,,,,,,,,,,,,,,,
55,HCR+3/T,T,27.64,54 TO 55,296,289.4337891090924,=F61-G61,7.3,504,12.32947,78.09982,,,,,0⁰44′18″    RT,GOOD,GOOD,LT LINE CROSSING -2,ROAD,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09982 12.32947, 78.09837 12.33123)",,,,,,,,,,,,,,,,,,,
56,GCR/S ,S,25.64,55 TO 56,251,250.77125285585086,=F62-G62,8.3,501,12.33123,78.09837,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09837 12.33123, 78.09686 12.33303)",,,,,,,,,,,,,,,,,,,
57,HCR/T,T,24.64,56 TO 57 ,256,258.3335158243552,=F63-G63,6.6,508,12.33303,78.09686,2W,,,,2⁰28′29″   RT,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09686 12.33303, 78.095551 12.334735)",,,,,,,,,,,,,,,,,,,
58,KCR/T,T,26.24,57 TO 58 ,238,236.55645483387727,=F64-G64,7.5,515,12.334735,78.095551,,,,,5⁰14′10″    LT,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.095551 12.334735, 78.0944 12.33598)",,,,,,,,,,,,,,,,,,,
59,HCR/T,T,24.64,58 TO 59 ,187,186.23985303785366,=F65-G65,7.1,509,12.33598,78.0944,,,,,2⁰35′48″  RT,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0944 12.33598, 78.092611 12.3381)",,,,,,,,,,,,,,,,,,,
60,GCR/S ,S,25.64,59 TO60,308,305.0326592664434,=F66-G66,9.2,514,12.3381,78.092611,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.092611 12.3381, 78.09109 12.33995)",,,,,,,,,,,,,,,,,,,
61,GCR/S ,S,25.64,60 TO 61,261,263.33554016669257,=F67-G67,6.9,514,12.33995,78.09109,,,,,,GOOD,GOOD,11KV LINE CROSSING ,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09109 12.33995, 78.08939 12.34197)",,,,,,,,,,,,,,,,,,,
62,GCR/S ,S,25.64,61 TO 62,290,290.2830428913643,=F68-G68,7.9,518,12.34197,78.08939,,,,,,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08939 12.34197, 78.0878 12.34382)",,,,,,,,,,,,,,,,,,,
63,HCR/T,T,24.64,62 TO63,270,268.1620259875928,=F69-G69,10,519,12.34382,78.0878,,,,,1⁰0′42″     RT ,GOOD,GOOD,LT LINE CROSSING -2,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0878 12.34382, 78.08615 12.34581)",,,,,,,,,,,,,,,,,,,
64,GCR/S ,S,25.64,63 TO 64,290,284.2609714368357,=F70-G70,10.2,525,12.34581,78.08615,,,,,,GOOD,GOOD,110 KV Palavadi to Vellichandai Line ,,Agri land,110 KV Palavadi to Vellichandai Line ,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08615 12.34581, 78.08463 12.34755)",,,,,,,,,,,,,,,,,,,
65,HCR/T,T,24.64,64 TO 65 ,249,253.94878771847377,=F71-G71,7.9,526,12.34755,78.08463,,,,,2⁰2′27″      LT,GOOD,GOOD,LT/11KV LINE CROSSING ,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08463 12.34755, 78.08295 12.34934)",,,,,,,,,,,,,,,,,,,
66,KCR/T,T,26.24,65 TO 66,274,269.6666102750367,=F72-G72,8.9,535,12.34934,78.08295,,,,,14⁰10′43″  RT,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08295 12.34934, 78.081788 12.351443)",,,,,,,,,,,,,,,,,,,
67,KCR/T,T,26.24,66 TO 67,291,264.9912230995497,=F73-G73,10,535,12.351443,78.081788,,,,,8⁰59′53″    LT,GOOD,GOOD,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.081788 12.351443, 78.08154 12.35176)",,,,,,,,,,,,,,,,,,,
Vellichandhai Gantry ,Gantry ,T,20,67 TO GAN ,17,44.26044680889425,=F74-G74,,,12.35176,78.08154,2W,,,,,,,,,Agri land,Inside the Sub station 11o kv Vellichandai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,=SUM(F7:F74),=SUM(G7:G74),=F75-G75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
