Tower No,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms) (Ω),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
81,,DB,32,80-81,320,277.4370526,5.33,820,"11°42'00""(LT)",12.61244,77.86978,Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86978 12.61244, 77.87065 12.61026)"
82,,DA,34,81-82,300,259.2388475,4.39,814,,12.61026,77.87065,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87065 12.61026, 77.87173 12.60775)"
83,,DA+3,37,82-83,280,301.6933644,5.49,809,,12.60775,77.87173,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87173 12.60775, 77.87269 12.60529)"
84,,DA,34,83-84,295,291.6822034,5.34,817,,12.60529,77.87269,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87269 12.60529, 77.87376 12.60267)"
85,,DA,34,84-85,300,312.5423178,4.39,816,,12.60267,77.87376,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87376 12.60267, 77.87476 12.60021)"
86,,DC+3,37,85-86,300,293.2682452,5.49,836,"55°16'40""(LT)",12.60021,77.87476,Good,Good,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87476 12.60021, 77.87653 12.59981)"
87,,DC,34,86-87,295,197.5054773,4.53,846,"00°00'00""",12.59981,77.87653,Good,Good,LT-1,CART ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87653 12.59981, 77.87971 12.59908)"
88,,DA,34,87-88,235,355.1258619,3.49,849,,12.59908,77.87971,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87971 12.59908, 77.88183 12.59859)"
89,,DA,34,88-89,235,236.8359002,5.33,862,,12.59859,77.88183,Good,Good,,,HILLS AREA(SMALL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88183 12.59859, 77.88348 12.59824)"
90,,DA+3,37,89-90,295,183.565996,4.73,851,,12.59824,77.88348,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88348 12.59824, 77.88699 12.59736)"
91,,DA,34,90-91,320,393.9354361,0.9,852,,12.59736,77.88699,Good,Good,,,FENCING INSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88699 12.59736, 77.88977 12.5969)"
92,2W,DB,32,91-92,275,306.5739948,4.58,860,"17°40'48""(RT)",12.5969,77.88977,Good,Good,110KV-NO 11-12H POLE CLEARENCE-8M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88977 12.5969, 77.89115 12.59612)"
93,,DA,34,92-93,275,173.144705,5.18,849,,12.59612,77.89115,Good,Good,,,HILLS AREA (SMALL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89115 12.59612, 77.89352 12.59497)"
94,,DA+3,37,93-94,265,287.4663088,2.31,833,,12.59497,77.89352,Good,Good,LT-1,,HILLS AREA (SMALL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89352 12.59497, 77.89568 12.59385)"
95,,DB,32,94-95,320,265.6178247,4.5,854,"03°55'55""(RT)",12.59385,77.89568,Good,Good,,,HILLS AREA (SMALL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89568 12.59385, 77.89841 12.59219)"
