Tower No,,JOINT BOX,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 61,,,S,DA,26,60-61,275.6011611,5.04,333,,77.08536111,10.76769444,GOOD,GOOD,,TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08536111111111 10.767694444444444, 77.08733333333333 10.766194444444444)"
T.NO 62,,,S,DA,26,61-62,269.2006686,6.31,336,,77.08733333,10.76619444,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08733333333333 10.766194444444444, 77.08941666666666 10.764666666666667)"
T.NO 63,,,S,DA,26,62-63,286.220195,5.16,341,,77.08941667,10.76466667,GOOD,GOOD,,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.08941666666666 10.764666666666667, 77.09147222222222 10.763083333333332)"
T.NO 64,,,T,DB,24,63-64,284.6137734,4.8,350,"5°4'1""",77.09147222,10.76308333,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09147222222222 10.763083333333332, 77.09211111111111 10.762666666666666)"
T.NO 1 MC MILLKOILPALAYAM LILO,,3W,T,MC,45,64-1,84.05950273,6.31,351,"16°6'48""",77.09211111,10.76266667,GOOD,GOOD,,TAARROAD,CULTIVACTION,MILLKOILPALAYAM LILO NEED 4WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09211111111111 10.762666666666666, 77.09338888888888 10.76125)"
T.NO 65,,,S,DA,26,Jan-65,209.6902477,5.2,346,,77.09338889,10.76125,GOOD,GOOD,"LT,11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09338888888888 10.76125, 77.09558333333332 10.759194444444445)"
T.NO 66,,,S,DA,26,65-66,329.7059296,6.16,357,,77.09558333,10.75919444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09558333333332 10.759194444444445, 77.09763888888888 10.757194444444444)"
T.NO 67,,,S,DA,26,66-67,316.8627463,4.89,368,,77.09763889,10.75719444,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09763888888888 10.757194444444444, 77.09930555555555 10.755583333333334)"
T.NO 68,,,S,DA,26,67-68,253.875954,5.12,369,,77.09930556,10.75558333,GOOD,GOOD,"LT,11KV",TAARROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.09930555555555 10.755583333333334, 77.10161111111111 10.753388888888889)"
T.NO 69,,,T,DB,24,68-69,351.5181361,4.26,368,"6°50'24""",77.10161111,10.75338889,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10161111111111 10.753388888888889, 77.10194444444444 10.752972222222223)"
T.NO 70,,,T,DB,24,69-70,58.25804665,6.86,368,,77.10194444,10.75297222,GOOD,GOOD,"LT,11OKV",,PLAIN,ANTHIYUR - NEGAMAM 110KV  THUDIYALUR LINES JURISDICTION END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.10194444444444 10.752972222222223, 77.10225 10.752611111111111)"
