S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
66,T.NO 63,S,SA,26,62-63,298.228868046157,6.75,138,,79.52166666666666,13.238333333333333,GOOD,GOOD,LT1,"ROAD1,CANAL1",CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52166666666666 13.238333333333333, 79.51925 13.238499999999998)"
67,T.NO 64,T,SB,24,63-64,263.922041677757,5.38,141,"11°40'12""",79.51925,13.238499999999998,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51925 13.238499999999998, 79.51644444444445 13.238138888888889)"
68,T.NO 65,S,SA,26,64-65,307.620286347789,4.65,142,,79.51644444444445,13.238138888888889,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51644444444445 13.238138888888889, 79.51455555555556 13.237944444444443)"
69,T.NO 66,T,SC,26,65-66,207.072802669348,5.75,143,"20°9'37""",79.51455555555556,13.237944444444443,GOOD,GOOD,,ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51455555555556 13.237944444444443, 79.51241666666667 13.236749999999999)"
70,T.NO 67,S,SA,26,66-67,269.173451333274,4.96,133,,79.51241666666667,13.236749999999999,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51241666666667 13.236749999999999, 79.51013888888889 13.235694444444444)"
71,T.NO 68,T,SC,26,67-68,270.803632295787,2.36,136,"19°11'36""",79.51013888888889,13.235694444444444,GOOD,GOOD,,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51013888888889 13.235694444444444, 79.50761111111112 13.235333333333333)"
72,T.NO 69,S,SA,26,68-69,277.622486432322,5.05,138,,79.50761111111112,13.235333333333333,GOOD,GOOD,LT1,,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50761111111112 13.235333333333333, 79.5051388888889 13.235)"
73,T.NO 70,S,SA,26,69-70,271.680623613882,5.83,140,,79.5051388888889,13.235,GOOD,GOOD,HT2,ROAD1,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5051388888889 13.235, 79.50280555555555 13.23461111111111)"
74,T.NO 71,S,SA,26,70-71,258.130317154551,7.31,139,,79.50280555555555,13.23461111111111,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50280555555555 13.23461111111111, 79.50019444444445 13.234277777777777)"
75,T.NO 72,S,SA,26,71-72,286.156097602699,5.25,140,,79.50019444444445,13.234277777777777,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50019444444445 13.234277777777777, 79.49797222222222 13.233916666666666)"
76,T.NO 73,S,SA,26,72-73,245.965303665642,6.32,142,,79.49797222222222,13.233916666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49797222222222 13.233916666666666, 79.49622222222223 13.233749999999999)"
77,T.NO 74,T,SB,24,73-74,191.850727009357,7.51,143,"13°54'16""",79.49622222222223,13.233749999999999,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49622222222223 13.233749999999999, 79.49375 13.234)"
78,T.NO 75,S,SA,26,74-75,270.67387711827,4.22,141,,79.49375,13.234,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49375 13.234, 79.49097222222223 13.234305555555554)"
79,T.NO 76,S,SA,26,75-76,302.920519342426,4.91,145,,79.49097222222223,13.234305555555554,GOOD,GOOD,400KV,,PLAIN,NELLUR-THIRUVALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49097222222223 13.234305555555554, 79.4885 13.234416666666666)"
80,T.NO 77,S,SA,26,76-77,270.475416318446,4.95,152,,79.4885,13.234416666666666,GOOD,GOOD,"LT1,HT2",ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4885 13.234416666666666, 79.48591666666667 13.23472222222222)"
81,T.NO 78,S,SA,26,77-78,281.194575250842,4.95,154,,79.48591666666667,13.23472222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48591666666667 13.23472222222222, 79.48344444444444 13.235)"
82,T.NO 79,T,SC,26,78-79,272.016604657353,3.4,156,"23°27'28""",79.48344444444444,13.235,GOOD,GOOD,,FOREST,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48344444444444 13.235, 79.48097222222222 13.234333333333332)"
83,T.NO 80,S,SA,26,79-80,279.992831449125,4.18,155,,79.48097222222222,13.234333333333332,GOOD,GOOD,,MUD ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48097222222222 13.234333333333332, 79.47894444444445 13.233638888888889)"
84,T.NO 81,S,SA,26,80-81,233.112041910798,4.15,155,,79.47894444444445,13.233638888888889,GOOD,GOOD,LT1,FOREST,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47894444444445 13.233638888888889, 79.47666666666667 13.232888888888889)"
