S.NO,Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
76,16,SB,T,,24,17-16,,0.002131287,7.12,72.52,"8d11'6""LT",11.59751529,79.47102952,GOOD,GOOD,,,PLAIN,M/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47102952197906 11.597515286746447, 79.46850752260782 11.597372290184836)"
77,15,SA,S,,26,16-15,,0.002314007,4.32,69.32,,11.59737229,79.46850752,GOOD,GOOD,,,PLAIN,M/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46850752260782 11.597372290184836, 79.46636252357992 11.59722629130966)"
78,14,SB,T,,24,15-14,,0.002118588,6.73,70.23," 5d55'50""RT",11.59722629,79.46636252,GOOD,GOOD,,,PLAIN,M/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46636252357992 11.59722629130966, 79.46445652457136 11.597291289467087)"
79,13,SB,T,,24,14-13,,0.002366076,7.43,74.08," 2d28'18""LT",11.59729129,79.46445652,GOOD,GOOD,,HIGHWAY ROAD,PLAIN,M/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46445652457136 11.597291289467087, 79.4622805254858 11.597276293487274)"
80,12,SA,S,,26,13-12,,0.002315077,5.56,76.11,,11.59727629,79.46228053,GOOD,GOOD,,,PLAIN,M/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4622805254858 11.597276293487274, 79.4601495260277 11.597241287988366)"
81,11,SA,S,,26,11-Dec,,0.002080201,7.13,74.51,,11.59724129,79.46014953,GOOD,GOOD,,,PLAIN,M/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4601495260277 11.597241287988366, 79.45783552655496 11.597235287136444)"
82,10,SA,S,,26,10-Nov,,0.000680241,6.63,75.92,,11.59723529,79.45783553,GOOD,GOOD,,,PLAIN,M/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45783552655496 11.597235287136444, 79.45571752817503 11.59718529291761)"
83,9,SA,S,,26,9-Oct,,0.002255622,5.32,77.73,,11.59718529,79.45571753,GOOD,GOOD,,ROAD,PLAIN,M/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45571752817503 11.59718529291761, 79.45335152858893 11.597204291993144)"
84,8,SA,S,,26,8-Sep,,0.001734006,7.41,81.59,,11.59720429,79.45335153,GOOD,GOOD,,HARD ROCK,PLAIN,M/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45335152858893 11.597204291993144, 79.45103652972146 11.597185294270984)"
85,7,SA,S,,26,7-Aug,,0.000829892,6.12,81.14,,11.59718529,79.45103653,GOOD,GOOD,,,PLAIN,M/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45103652972146 11.597185294270984, 79.44895653066736 11.597156292825009)"
