S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
77,T.NO-12,DA,S,24,11-12,261.938924178901,7.49,53,,79.271863,11.566719,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.271863 11.566719, 79.269311 11.567283)"
78,T.NO-13,DA,S,24,12-13,285.271800218669,7.21,53,,79.269311,11.567283,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.269311 11.567283, 79.2673 11.567741)"
79,T.NO-14,DC,T,28,13-14,225.088871337523,5.34,59,"16°15'48""",79.2673,11.567741,GOOD,GOOD,,MUDROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2673 11.567741, 79.265019 11.569002)"
80,T.NO-15,DC,T,28,14-15,285.280563656201,0.22,56,"20°5'32""",79.265019,11.569002,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.265019 11.569002, 79.263837 11.57036)"
81,T.NO-16,DC,T,28,15-16,197.952014387326,2.69,52,"24°5'50""",79.263837,11.57036,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.263837 11.57036, 79.261823 11.571297)"
82,T.NO-17,DA,S,24,16-17,242.870335776109,6.74,59,,79.261823,11.571297,GOOD,GOOD,,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.261823 11.571297, 79.260122 11.572127)"
83,T.NO-18,DA,S,24,17-18,207.060377667964,7.3,61,,79.260122,11.572127,GOOD,GOOD,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.260122 11.572127, 79.258265 11.572966)"
84,T.NO-19,DA,S,24,18-19,222.800359066138,9.1,59,,79.258265,11.572966,GOOD,GOOD,"2nos LT,11KV",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.258265 11.572966, 79.256159 11.573929)"
85,T.NO-20,DA,S,24,19-20,253.189652237211,6.9,67,,79.256159,11.573929,GOOD,GOOD,LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.256159 11.573929, 79.254468 11.574706)"
86,T.NO-21,DA,S,24,20-21,203.531324370476,15.88,67,,79.254468,11.574706,GOOD,GOOD,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.254468 11.574706, 79.252555 11.575625)"
87,T.NO-22,DD,T,30,21-22,232.105579424537,5.41,60,"53°49'0""",79.252555,11.575625,GOOD,GOOD,4nos 11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.252555 11.575625, 79.252109 11.578072)"
88,T.NO-23,DA,S,24,22-23,275.045450789501,3.46,61,,79.252109,11.578072,GOOD,GOOD,11KV,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.252109 11.578072, 79.251719 11.580366)"
89,T.NO-24,DD,T,30,23-24,257.287776623764,1.12,69,"56°17'34""",79.251719,11.580366,GOOD,GOOD,"11KV,LT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.251719 11.580366, 79.251296 11.580553)"
90,GANTRY AT 110KV M.PARUR,GANTRY,GANTRY,20,24-GANTRY,50.5667875190821,,69,,79.251296,11.580553,GOOD,MISSING,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G95),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
