S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
66,135,T,,SC,22,134-135,255.6446304,2.18,109.803856,"60°40'56"" R",10.98683333,78.94091667,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94091666666667 10.986833333333333, 78.94122222222222 10.98425)"
67,136,T,2W,DC,26,135-136,286.5326016,1.66,109.630585,"2°22'22"" L",10.98425,78.94122222,GOOD,Available,,,PLAIN,Common tower for Kallakudi - Poiyur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94122222222222 10.98425, 78.94163888888889 10.981555555555556)"
68,137,S,,DA,26,136-137,303.8203205,2.35,104.967789,,10.98155556,78.94163889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94163888888889 10.981555555555556, 78.94205555555556 10.979055555555556)"
69,138,S,,DA,26,137-138,278.5437659,3.01,100.994522,,10.97905556,78.94205556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94205555555556 10.979055555555556, 78.94244444444445 10.976944444444445)"
70,139,T,,DC,26,138-139,237.059018,4.63,98.216324,"26°15'24"" L",10.97694444,78.94244444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94244444444445 10.976944444444445, 78.94333333333334 10.975777777777777)"
71,140,S,,DA,26,139-140,160.7549596,5.67,97.024658,,10.97577778,78.94333333,GOOD,Available,"LT-2No, HT-3No",NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94333333333334 10.975777777777777, 78.94397222222223 10.975)"
72,141,T,,DC,26,140-141,112.4211089,3.16,96.351845,"6°38'38"" L",10.975,78.94397222,GOOD,Available,"LT-2No, HT-2No",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94397222222223 10.975, 78.94580555555557 10.973222222222223)"
73,142,T,,DC,26,141-142,280.7327578,1.79,92.206161,"57°46'52""R",10.97322222,78.94580556,GOOD,Available,HT-2No,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94580555555557 10.973222222222223, 78.94569444444444 10.972694444444445)"
74,Gantry (Kallakudi SS),Gantry,2W,H-POLE,12,142-Gantry,61.66229227,,91.781052,,10.97269444,78.94569444,GOOD,NO E/W,,,SS,Cement Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
