S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Ground Elevation,Deviation Angle,,Latitude,Longitude,,,,,Footing Resistance of Tower ,,,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,line_geom
73,72,S,DC,28,71-72,183.99414203163505,33.376572,,,12.0008559990674,79.7336470149457,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7336470149457 12.0008559990674, 79.7348880395293 12.0021319761872)"
74,73,T,DC,28,72-73,196.88859050814477,31.005199,42°41'39''RT,,12.0021319761872,79.7348880395293,,,,,12.6,3.8,1.9,24.5,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7348880395293 12.0021319761872, 79.7371649835258 12.0022710319608)"
75,74,S,DC,28,73-74,249.89873162708895,32.9915659999999,,,12.0022710319608,79.7371649835258,,,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7371649835258 12.0022710319608, 79.7398190293461 12.0023990236222)"
76,75,T,DC,28,74-75,290.8285025170226,31.576183,51°14'11''LT,,12.0023990236222,79.7398190293461,,,,,12.6,3.55,2,21.4,,,,GOOD,Available,"HT,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7398190293461 12.0023990236222, 79.7410977724939 12.0041342452168)"
77,76,S,DC,28,75-76,238.60771820274,45,,,12.0041342452168,79.7410977724939,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7410977724939 12.0041342452168, 79.7419643774628 12.0054129883646)"
78,77,S,DC,28,76-77,171.52050052870584,44,,,12.0054129883646,79.7419643774628,,,,,,,,,,,,GOOD,Available,LT -2,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7419643774628 12.0054129883646, 79.7432354930788 12.0072011835873)"
79,78,S,DC,28,77-78,242.8965398524064,45,,,12.0072011835873,79.7432354930788,,,,,,,,,,,,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7432354930788 12.0072011835873, 79.7444929461926 12.0087515842169)"
80,79,T,DC,28,78-79,220.93230186636458,40,22°4'2''LT,,12.0087515842169,79.7444929461926,,,,,13.55,4.4,2.8,23.8,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7444929461926 12.0087515842169, 79.7450718842446 12.0106709562242)"
81,80,S,DC,28,79-80,222.95040055116007,37,,,12.0106709562242,79.7450718842446,,,,,,,,,,,,GOOD,Available,"LT, HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7450718842446 12.0106709562242, 79.7457786463201 12.0127536915242)"
82,81,S,DC,28,80-81,244.37131394171365,33,,,12.0127536915242,79.7457786463201,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7457786463201 12.0127536915242, 79.7466297447681 12.015406563878)"
83,82,S,DC,28,81-82,309.2024556066242,30,,,12.015406563878,79.7466297447681,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7466297447681 12.015406563878, 79.7473718784749 12.0177787262946)"
84,83,S,DC,28,82-83,276.03016848181636,31,,,12.0177787262946,79.7473718784749,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7473718784749 12.0177787262946, 79.7480866033583 12.0201326999813)"
85,84,S,DC,28,83-84,273.2383785716581,30,,,12.0201326999813,79.7480866033583,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7480866033583 12.0201326999813, 79.7489025816321 12.0224509667605)"
