S.No,Tower No.,Join Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
58,58,,S,DA,26,57-58,247.0349406,2.09,FALSE,24.972816,,9.317805556,78.42977778,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.42977777777779 9.317805555555555, 78.43027777777779 9.315416666666668)"
59,59,,S,DA,26,58-59,270.0163148,1.93,FALSE,26.536228,,9.315416667,78.43027778,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43027777777779 9.315416666666668, 78.43077777777778 9.312944444444446)"
60,60,,S,DA,26,59-60,280.3812759,3.27,FALSE,24.772964,,9.312944444,78.43077778,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43077777777778 9.312944444444446, 78.43116666666667 9.310972222222222)"
61,61,,T,DB,25,60-61,222.6318714,5.3,FALSE,23.508877,"1°5'60""L",9.310972222,78.43116667,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43116666666667 9.310972222222222, 78.43161111111111 9.3085)"
62,62,,S,DA,26,61-62,277.8621674,1.16,FALSE,23.467892,,9.3085,78.43161111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43161111111111 9.3085, 78.43205555555556 9.305972222222223)"
63,63,,T,DB,25,62-63,283.3646864,0.71,FALSE,23.27586,"15°4'12""L",9.305972222,78.43205556,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43205555555556 9.305972222222223, 78.43188888888889 9.303944444444445)"
64,64,,S,DA,26,63-64,225.0549014,2.4,FALSE,23.85251,,9.303944444,78.43188889,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43188888888889 9.303944444444445, 78.43169444444445 9.302333333333333)"
65,65,,S,DA+3,29,64-65,179.9871119,1.43,FALSE,24.923889,,9.302333333,78.43169444,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43169444444445 9.302333333333333, 78.4316388888889 9.301055555555557)"
66,66,,S,DA+3,29,65-66,142.150362,3.52,FALSE,25.566887,,9.301055556,78.43163889,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4316388888889 9.301055555555557, 78.43138888888889 9.299111111111111)"
67,67,2W,T,DC,26,66-67,216.848681,2.01,FALSE,25.866999,,9.299111111,78.43138889,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43138888888889 9.299111111111111, 78.43191666666667 9.296972222222221)"
