S. No ,Tower No,Supspension / Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
51,50,S,DA+0,28,T 49-T  50,256,3.93,"=IF(H56>15,0)",110.362122,,9.738060888735665,78.0543089974521,Good,Good,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0543089974521 9.738060888735665, 78.05556997095832 9.736302868473198)"
52,51,T,DD+0,26,T 50-T  51,241,13.56,"=IF(H57>15,0)",110.961189,18°48'45''RT,9.736302868473198,78.05556997095832,Good,Good,3 LT & 11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05556997095832 9.736302868473198, 78.0569000113462 9.735352863674152)"
53,52,S,DA+0,28,T 51-T  52,182,1.73,"=IF(H58>15,0)",111.052429,,9.735352863674152,78.0569000113462,Good,Good,2 LT & 11KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0569000113462 9.735352863674152, 78.059056004468 9.733831883695615)"
54,53,S,DA+0,28,T 52-T  53,293,5.61,"=IF(H59>15,0)",110.009682,,9.733831883695615,78.059056004468,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.059056004468 9.733831883695615, 78.06084403204255 9.732571916152883)"
55,54,S,DA+0,28,T 53-T  54,243,3.76,"=IF(H60>15,0)",109.225388,,9.732571916152883,78.06084403204255,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06084403204255 9.732571916152883, 78.06282501102717 9.731168869537823)"
56,55,T,DD+0,26,T 54-T  55,270,2.61,"=IF(H61>15,0)",108.602478,52°45'49''RT,9.731168869537823,78.06282501102717,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06282501102717 9.731168869537823, 78.0651250052443 9.731876889059166)"
57,56,S,DA+0,28,T 55-T  56,267,3.36,"=IF(H62>15,0)",108.807982999999,,9.731876889059166,78.0651250052443,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0651250052443 9.731876889059166, 78.06751200361592 9.73255288971593)"
58,57,S,DA+0,28,T 56-T  57,275,0.52,"=IF(H63>15,0)",105.997093,,9.73255288971593,78.06751200361592,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06751200361592 9.73255288971593, 78.0699430069789 9.733277924509885)"
59,58,T,DD+0,26,T 57-T  58,281,1.45,"=IF(H64>15,0)",105.056526,28°35'42''RT,9.733277924509885,78.0699430069789,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0699430069789 9.733277924509885, 78.07164201874234 9.732923873045197)"
60,59,S,DA+0,28,T 58-T  59,193,0.31,"=IF(H65>15,0)",104.854088,,9.732923873045197,78.07164201874234,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07164201874234 9.732923873045197, 78.07388803350368 9.732437890465036)"
