S. No ,Tower No,SUSPENTION/TENTION,Circuit,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of Tower  (Missing  parts, broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
67,T.NO-42,DA,S,26,"=B72&""-""&B73",333.94610343586885,4.34,204,,9.15763888888889,77.40061111111112,GOOD,GOOD,NO,,,PLAIN LAND,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40061111111112 9.15763888888889, 77.39838888888889 9.159722222222223)"
68,T.NO-43,DD,T,28,"=B73&""-""&B74",183.3248482884958,4.58,207,"36°9'57.93""",9.159722222222223,77.39838888888889,GOOD,GOOD,NO,,,INSIDE CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39838888888889 9.159722222222223, 77.39675000000001 9.159916666666668)"
69,T.NO-44,DB,T,24,"=B74&""-""&B75",217.5890622251036,4.23,203,"2°40'31.73""",9.159916666666668,77.39675000000001,GOOD,GOOD,NO,,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39675000000001 9.159916666666668, 77.39477777777779 9.160083333333334)"
70,T.NO-45,DB,T,24,"=B75&""-""&B76",289.71192588500736,3.77,211,"8°8'24.92""",9.160083333333334,77.39477777777779,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39477777777779 9.160083333333334, 77.39219444444446 9.160666666666668)"
71,T.NO-46,DD,T,28,"=B76&""-""&B77",121.91800523302537,1.74,213,"36°38'1.37""",9.160666666666668,77.39219444444446,GOOD,GOOD,NO,11KV ,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39219444444446 9.160666666666668, 77.39147222222223 9.1615)"
72,T.NO-47,DD,T,28,"=B77&""-""&B78",19.924858845171276,1.48,222,"31°27'55.24""",9.1615,77.39147222222223,GOOD,MISSING,NO,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39147222222223 9.1615, 77.39130555555556 9.161555555555555)"
73,GANTRY 110KV PULIYANKUDI ,GANTRY,GANTRY,20,,,,218,,9.161555555555555,77.39130555555556,GOOD,,NO,,,SUBSTATION,2EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G78),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE, 30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
