SL.NO,TOWER NO,Joint Box,TOWER    T/ S,DEVIATION OF  ANGLE   ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA                          (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
125,125,,S,,GC,23.62,T124-T125,257.3326073,32.58,43,8.328140665,77.71279849,AVAILABLE,,,AGRI LAND,Dc line  Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71279849036078 8.328140664760042, 77.71503779875044 8.329064833958839)"
126,126,,S,,GC,23.62,T125-T126,267.1960142,37.95,42,8.329064834,77.7150378,AVAILABLE,LT LINE,,AGRI LAND,"Dc line Agri land, lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71503779875044 8.329064833958839, 77.71707594650621 8.329833421635852)"
127,127,,S,,GC,23.62,T126-T127,240.2335124,39.73,43,8.329833422,77.71707595,AVAILABLE,"33KV LINE, 11KV LINE",,AGRI LAND,"Dc line  11kv Line, Agri land, 33kv Line, temple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71707594650621 8.329833421635852, 77.71923143215494 8.330588069318592)"
128,128,,S,,GC,23.62,T127-T128,251.8554745,44.67,42,8.330588069,77.71923143,AVAILABLE,,,AGRI LAND,"Dc line,  Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71923143215494 8.330588069318592, 77.72135171865713 8.3313722380972)"
129,129,,S,,GC,23.62,T128-T129,249.3168978,33.85,41,8.331372238,77.72135172,AVAILABLE,,,AGRI LAND,"Dc line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72135171865713 8.3313722380972, 77.72340126195108 8.332129547702898)"
130,130,,T,"00°58'53""LT",HC,21.94,T129-T130,240.9716741,36.78,42,8.332129548,77.72340126,AVAILABLE,,,AGRI LAND,"Dc line,  Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72340126195108 8.332129547702898, 77.72558860845776 8.332862292804736)"
131,131 ( LILO ),3W,T,,GC,23.62,T130-T131,254.3882575,32.54,42,8.332862293,77.72558861,AVAILABLE,,,PLAIN LAND,"Dc line, plain land ( LILO ONKOODANKULAM )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72558860845776 8.332862292804736, 77.72781617524397 8.333724413890565)"
132,132,,S,,GC,23.62,T131-T132,263.4363517,39.74,42,8.333724414,77.72781618,AVAILABLE,,,PLAIN LAND,"Dc line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72781617524397 8.333724413890565, 77.72987041968236 8.334501951963274)"
133,133,,S,,GC,23.62,T132-T133,242.2439321,35.46,43,8.334501952,77.72987042,AVAILABLE,,,PLAIN LAND,"Dc line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72987041968236 8.334501951963274, 77.73208357845414 8.335279805231897)"
134,134,,S,,GC,23.62,T133-T134,258.7050617,42.83,43,8.335279805,77.73208358,AVAILABLE,,,PLAIN LAND,"Dc line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73208357845414 8.335279805231897, 77.7342564989383 8.33603941708813)"
135,135,,S,,GC,23.62,T134-T135,253.8508479,38.97,44,8.336039417,77.7342565,AVAILABLE,,,PLAIN LAND,"Dc line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7342564989383 8.33603941708813, 77.73638315401872 8.336812969183823)"
